20241101,USC00297386,26.7
20241102,ASN00024521,28.5
20241103,USC00059096,19.4
20241104,USC00208202,22.2
20241105,ASN00050017,24.5
20241106,USR0000TCOL,20.6
20241107,USS0019L08S,24.6
20241108,USC00425815,24.5
20241109,USC00351574,24.5
20241110,USC00411974,23.9
20241111,RSM00030703,24.9
20241112,MXM00076323,25.6
20241113,USC00264341,25.0
20241114,USC00267908,25.0
20241115,USC00021330,28.9
20241116,USC00295908,23.9
20241117,RSM00030554,23.6
20241118,ASN00012044,21.1
20241119,USW00013973,22.8
20241120,USC00411486,26.6
20241121,USS0006K06S,22.9
20241122,USC00422696,26.1
20241123,USC00414670,26.6
20241124,MXM00076675,26.9
20241125,USC00484925,25.0
20241126,USC00022754,25.5
20241127,USC00084289,22.8
20241128,MXM00076634,24.0
20241129,USC00263114,23.3
20241130,USR0000AVER,25.0
20241201,USC00419916,26.7
20241202,USC00243939,28.8
20241203,USC00053005,23.4
20241204,USC00414525,27.8
20241205,CHM00056029,23.7
20241206,USW00023136,26.2
20241207,USC00252851,23.3
20241208,USW00003029,24.9
20241209,USC00147271,27.8
20241210,USR0000NDES,27.8
20241211,USR0000AHAV,23.4
20241212,USR0000CSLP,25.6
20241213,USC00054606,26.7
20241214,USC00297386,26.1
20241215,USC00020678,23.3
20241216,USC00415265,23.9
20241217,USR0000AYEL,24.4
20241218,USC00050263,26.7
20241219,USS0019L08S,26.2
20241220,USC00255362,26.1
20241221,USC00054742,21.7
20241222,USR0000AHIL,29.4
20241223,USC00027560,24.5
20241224,USC00251415,24.4
20241225,ASN00080015,20.5
20241226,USC00291138,25.0
20241227,USC00417624,22.8
20241228,USC00297340,25.6
20241229,USW00003013,23.2
20241229,USW00023157,23.2
20241230,BLM00085268,23.5
20241231,BN000005319,20.4
